,Unnamed: 0.1,Unnamed: 0,商品名,成分名,口コミ数,評価平均点,運動目的,運動目的2
60,60,7951,メタバリアEX,"サラシア,難消化性デキストリン,茶カテキン,モノグルコシルルチン",492,2.56,有酸素運動ストレッチ有酸素運動無酸素運動,バランス
61,61,7985,中性脂肪やコレステロールが気になる方のタブレット,エラグ酸,1,4.0,無酸素運動,無酸素運動
62,62,7997,極み菌活生サプリ,乳酸菌,83,2.22,ストレッチ,ストレッチ
63,63,8039,パパフレ,ターミナリアベリリカ由来没食子酸,0,,無酸素運動,無酸素運動
64,64,8072,中性脂肪サポート,モノグルコシルヘスペリジン,1,4.0,ストレッチ,ストレッチ
65,65,8089,Lovet(ラヴェット),ターミナリアベリリカ由来没食子酸,0,,無酸素運動,無酸素運動
66,66,8132,シボリズム,エラグ酸,0,,無酸素運動,無酸素運動
67,67,8133,脂肪注意報,グロビン由来バリン-バリン-チロシン-プロリン,0,,無酸素運動,無酸素運動
68,68,8136,きなり極,DHA・EPA,97,2.27,ストレッチ,ストレッチ
69,69,8164,シボヘールゴールド,エラグ酸,99,2.33,無酸素運動,無酸素運動
70,70,8166,ワイルドマンゴーの力,エラグ酸,72,2.4,無酸素運動,無酸素運動
71,71,8222,フラコラ大人の1粒習慣,サラシア,3,3.0,有酸素運動,有酸素運動
72,72,8228,ターミナリアファースト,ターミナリアベリリカ由来没食子酸,386,2.34,無酸素運動,無酸素運動
73,73,8239,メタバリア葛の花イソフラボン,葛の花由来イソフラボン,96,2.56,ストレッチ,ストレッチ
74,74,8259,ナイシダウン,ブラックジンジャー由来ポリメトキシフラボン,0,,無酸素運動,無酸素運動
75,75,8305,スリリンダブル,ターミナリアベリリカ由来没食子酸,12,2.25,無酸素運動,無酸素運動
76,76,8347,メタグラボEX,甘草由来グラブリジン,4,2.5,無酸素運動,無酸素運動
77,77,8357,ブラックジンジャー代謝粒,ブラックジンジャー由来ポリメトキシフラボン,54,2.47,無酸素運動,無酸素運動
78,78,8373,スラリオ（Sulalio）,ブラックジンジャー由来ポリメトキシフラボン,1,2.0,無酸素運動,無酸素運動
79,79,8376,お腹の脂肪に黒しょうが,ブラックジンジャー由来ポリメトキシフラボン,52,2.48,無酸素運動,無酸素運動
80,80,8379,ファットケアタブレット,葛の花由来イソフラボン,2,2.5,ストレッチ,ストレッチ
81,81,8386,オサエル,ターミナリアベリリカ由来没食子酸,0,,無酸素運動,無酸素運動
82,82,8418,おなかサイズ,乳酸菌,1,3.0,ストレッチ,ストレッチ
83,83,8423,ブラックジンジャーカプセル,ブラックジンジャー由来ポリメトキシフラボン,0,,無酸素運動,無酸素運動
84,84,8440,GOLDAY(ゴールデイ),ローズヒップ由来ティリロサイド,0,,無酸素運動,無酸素運動
85,85,8444,FLAVOSフラボス,ブラックジンジャー由来ポリメトキシフラボン,92,2.23,無酸素運動,無酸素運動
86,86,8454,LacFIT（ラクフィット）,"乳酸菌,ビフィズス菌",70,2.6,ストレッチストレッチ,ストレッチ
87,87,8458,アカポリ糖ケア,アカシア樹皮由来プロアントシアニジン,4,3.75,有酸素運動,有酸素運動
88,88,8465,GENBI（げんび）,葛の花由来イソフラボン,23,2.68,ストレッチ,ストレッチ
89,89,8468,しなりずむ,ブラックジンジャー由来ポリメトキシフラボン,0,,無酸素運動,無酸素運動
90,90,8471,井藤漢方製薬Meilis（メイリス）DHA1000S,DHA・EPA,2,2.5,ストレッチ,ストレッチ
91,91,8484,さかな暮らしダブル,DHA・EPA,0,,ストレッチ,ストレッチ
92,92,8485,ナップル抑脂サプリ,グロビン由来バリン-バリン-チロシン-プロリン,17,2.76,無酸素運動,無酸素運動
93,93,8499,スラミー（Slamee）,ブラックジンジャー由来ポリメトキシフラボン,7,3.14,無酸素運動,無酸素運動
94,94,8500,Rの美力,ローズヒップ由来ティリロサイド,15,2.8,無酸素運動,無酸素運動
95,95,8501,メタバリアプレミアムEX,"サラシア,フロロタンニン,モノグルコシルルチン,茶カテキン,難消化性デキストリン",496,2.78,有酸素運動ストレッチ有酸素運動無酸素運動ストレッチ,バランス
96,96,8556,燃やスリム,ブラックジンジャー由来ポリメトキシフラボン,0,,無酸素運動,無酸素運動
97,97,8567,ターミナリアスリム,ターミナリアベリリカ由来没食子酸,90,2.13,無酸素運動,無酸素運動
98,98,8575,スリリンファイア-SLILINF-,"ブラックジンジャー由来ポリメトキシフラボン,エラグ酸",63,2.55,無酸素運動無酸素運動,無酸素運動
99,99,8581,ブルーミングベリリカ（BloomingBellirica）,ターミナリアベリリカ由来没食子酸,1,4.0,無酸素運動,無酸素運動
100,100,8587,糖カロカット,サラシア,0,,有酸素運動,有酸素運動
101,101,8592,ワイルドマンゴーの力粒,エラグ酸,15,2.69,無酸素運動,無酸素運動
102,102,8594,MULCUTI（マルカティ）,ターミナリアベリリカ由来没食子酸,5,2.8,無酸素運動,無酸素運動
103,103,8601,食事で気になる糖や脂肪!,ターミナリアベリリカ由来没食子酸,0,,無酸素運動,無酸素運動
104,104,8602,なんとかしたいお腹の脂肪!,ブラックジンジャー由来ポリメトキシフラボン,0,,無酸素運動,無酸素運動
105,105,8639,メタプラスウエスト,ブラックジンジャー由来ポリメトキシフラボン,11,2.64,無酸素運動,無酸素運動
106,106,8644,シボヘールWケア,ターミナリアベリリカ由来没食子酸,54,2.65,無酸素運動,無酸素運動
107,107,8648,ラクルル（LACLULU）,"ヒハツ由来ピペリン類,ブラックジンジャー由来ポリメトキシフラボン",78,1.89,無酸素運動ストレッチ,ストレッチ・無酸素運動
108,108,8656,糖脂リミット,ターミナリアベリリカ由来没食子酸,0,,無酸素運動,無酸素運動
109,109,8667,ナイシボーンEX,ブラックジンジャー由来ポリメトキシフラボン,83,2.54,無酸素運動,無酸素運動
110,110,8674,E-TABLETBURNER（イータブレットバーナー）,ヒドロキシクエン酸（HCA）,2,1.5,ストレッチ,ストレッチ
111,111,8681,カテキン減脂粒,茶カテキン,56,2.15,ストレッチ,ストレッチ
112,112,8695,ナップル抑糖サプリ,サラシア,37,3.06,有酸素運動,有酸素運動
113,113,8698,カロバリア,ターミナリアベリリカ由来没食子酸,0,,無酸素運動,無酸素運動
114,114,8704,パルフェックス（PARFEX）,葛の花由来イソフラボン,0,,ストレッチ,ストレッチ
115,115,8711,ブラックジンジャーDX,ブラックジンジャー由来ポリメトキシフラボン,11,2.4,無酸素運動,無酸素運動
116,116,8722,ブラックジンジャー×乳酸菌,"ブラックジンジャー由来ポリメトキシフラボン,乳酸菌",16,2.6,無酸素運動ストレッチ,ストレッチ・無酸素運動
117,117,8732,スリムリミット（SLIMLimit）,ブラックジンジャー由来ポリメトキシフラボン,1,4.0,無酸素運動,無酸素運動
118,118,8735,黒しょうが効果,ブラックジンジャー由来ポリメトキシフラボン,1,3.0,無酸素運動,無酸素運動
119,119,8744,トリプル革命,エノキタケ由来脂肪酸（リノール酸・α－リノレン酸）,2,2.5,無酸素運動,無酸素運動
120,120,8746,ナイスリムサポートエラグ酸のチカラ,エラグ酸,38,2.47,無酸素運動,無酸素運動
121,121,8748,ENERGYSLIM（エナジースリム）,葛の花由来イソフラボン,0,,ストレッチ,ストレッチ
122,122,8752,糖脂ブロック,ターミナリアベリリカ由来没食子酸,27,2.52,無酸素運動,無酸素運動
123,123,8761,SLIMG（スリムジー）,ブラックジンジャー由来ポリメトキシフラボン,0,,無酸素運動,無酸素運動
124,124,8781,シボリーナ,ブラックジンジャー由来ポリメトキシフラボン,11,2.55,無酸素運動,無酸素運動
125,125,8798,グリコパワープロダクションエキストラバーナー,ヒドロキシクエン酸（HCA）,13,3.15,ストレッチ,ストレッチ
126,126,8800,オリヒロブラックジンジャーサラシア,"ブラックジンジャー由来ポリメトキシフラボン,サラシア",38,2.74,無酸素運動有酸素運動,無酸素運動・有酸素運動
127,127,8801,ブルーミングセルナージュ（BloomingCellnage）,葛の花由来イソフラボン,0,,ストレッチ,ストレッチ
128,128,8802,ナイナイシ（nainaishi）,エラグ酸,0,,無酸素運動,無酸素運動
129,129,8804,シボヘルプ,葛の花由来イソフラボン,47,2.49,ストレッチ,ストレッチ
130,130,8808,ウエストキュート,リンゴ由来プロシアニジン,1,2.0,無酸素運動,無酸素運動
131,131,8809,腹脂ヘルプ,葛の花由来イソフラボン,3,2.33,ストレッチ,ストレッチ
132,132,8819,シボヘールGOLDDX-PLUS,エラグ酸,69,2.46,無酸素運動,無酸素運動
133,133,8824,ミラヘルEX,ブラックジンジャー由来ポリメトキシフラボン,0,,無酸素運動,無酸素運動
134,134,8825,プレミアムカテキン糖脂,茶カテキン,0,,ストレッチ,ストレッチ
135,135,8831,ターミナリアファイン,ターミナリアベリリカ由来没食子酸,0,,無酸素運動,無酸素運動
136,136,8832,肥満気味な方の体重やお腹の脂肪を減らすのを助けるウエストアシスト,葛の花由来イソフラボン,0,,ストレッチ,ストレッチ
137,137,8851,ダブルバスター（WBUSTER）,ブラックジンジャー由来ポリメトキシフラボン,3,2.33,無酸素運動,無酸素運動
138,138,8866,WAISTHELLウエストヘル,ブラックジンジャー由来ポリメトキシフラボン,17,2.13,無酸素運動,無酸素運動
139,139,8878,キロロス（KIROROS）,エラグ酸,206,1.84,無酸素運動,無酸素運動
140,140,8882,スラレグ（Slaleg）,"茶カテキン,ヒハツ由来ピペリン類",19,2.67,ストレッチストレッチ,ストレッチ
141,141,8883,桑の葉&茶カテキンの恵み,"桑の葉由来イミノシュガー,茶カテキン",59,2.65,ストレッチ有酸素運動,ストレッチ・有酸素運動
142,142,8885,ココフローラ,グアーガム分解物,0,,有酸素運動,有酸素運動
143,143,8886,シボラナイトGOLD,エラグ酸,329,1.98,無酸素運動,無酸素運動
144,144,8887,シボラナイト,ブラックジンジャー由来ポリメトキシフラボン,68,2.08,無酸素運動,無酸素運動
145,145,8922,トリプル脂肪ダウン,エラグ酸,0,,無酸素運動,無酸素運動
146,146,8928,シボヘリーナα,エラグ酸,0,,無酸素運動,無酸素運動
147,147,8929,お腹脂肪サポート,ブラックジンジャー由来ポリメトキシフラボン,4,3.75,無酸素運動,無酸素運動
148,148,8942,イマーク中性脂肪を下げるEPAandDHAシームレスカプセル,DHA・EPA,0,,ストレッチ,ストレッチ
149,149,8947,スリムケアプラス,ローズヒップ由来ティリロサイド,0,,無酸素運動,無酸素運動
150,150,8949,Merattoメラット,ブラックジンジャー由来ポリメトキシフラボン,77,2.1,無酸素運動,無酸素運動
151,151,8961,おなかの脂肪ぱっくん,ブラックジンジャー由来ポリメトキシフラボン,75,2.46,無酸素運動,無酸素運動
152,152,8962,ラバキュットダウン（LAVAQTTODOWN）,リンゴ由来プロシアニジン,10,2.6,無酸素運動,無酸素運動
153,153,8978,Taisya（タイシャ）,"ヒハツ由来ピペリン類,ブラックジンジャー由来ポリメトキシフラボン",3,2.33,無酸素運動ストレッチ,ストレッチ・無酸素運動
154,154,8980,アルクスマート,ブラックジンジャー由来ポリメトキシフラボン,0,,無酸素運動,無酸素運動
155,155,8993,メタノン,ブラックジンジャー由来ポリメトキシフラボン,0,,無酸素運動,無酸素運動
156,156,9004,コレステロールや中性脂肪が気になる方のカプセル,DHA・EPA,3,2.67,ストレッチ,ストレッチ
157,157,9008,ファイラHMB（FIRAHMB）,"HMBカルシウム,ブラックジンジャー由来ポリメトキシフラボン",72,2.23,無酸素運動ストレッチ,ストレッチ・無酸素運動
158,158,9015,糖質注意報,サラシア,0,,有酸素運動,有酸素運動
159,159,9019,いつもを、そえて。,ターミナリアベリリカ由来没食子酸,0,,無酸素運動,無酸素運動
160,160,9023,VALXNAQSEL（バルクスナクセル）,"ヒドロキシクエン酸（HCA）,ターミナリアベリリカ由来没食子酸",1,3.0,無酸素運動ストレッチ,ストレッチ・無酸素運動
161,161,9024,糖脂ダウンEX,ターミナリアベリリカ由来没食子酸,0,,無酸素運動,無酸素運動
162,162,9031,なかったコトに!ぐっすりスッキリ快眠&腸活!,乳酸菌,0,,ストレッチ,ストレッチ
163,163,9032,なかったコトに!なんとかしたい脚のむくみ!,ヒハツ由来ピペリン類,0,,ストレッチ,ストレッチ
164,164,9043,GOLDAYON（ゴールデイオン）,"ローズヒップ由来ティリロサイド,モノグルコシルヘスペリジン",0,,無酸素運動ストレッチ,ストレッチ・無酸素運動
165,165,9049,METOFAS（メトファス）,ブラックジンジャー由来ポリメトキシフラボン,15,2.71,無酸素運動,無酸素運動
166,166,9066,大腸のキホン,ビフィズス菌,0,,ストレッチ,ストレッチ
167,167,9069,BURNiBO（バニボ）,"ブラックジンジャー由来ポリメトキシフラボン,ヒドロキシクエン酸（HCA）",24,2.78,無酸素運動ストレッチ,ストレッチ・無酸素運動
168,168,9073,ホワイエット（WHIET）,赤パプリカ由来キサントフィル,1,3.0,無酸素運動,無酸素運動
169,169,9082,糖脂ケア,ターミナリアベリリカ由来没食子酸,0,,無酸素運動,無酸素運動
170,170,9084,カロリケア,エラグ酸,0,,無酸素運動,無酸素運動
171,171,9091,スリムサポ（SlimSapo）,リンゴ由来プロシアニジン,30,1.97,無酸素運動,無酸素運動
172,172,9093,糖や脂肪にターミナリアW,ターミナリアベリリカ由来没食子酸,11,2.82,無酸素運動,無酸素運動
173,173,9096,糖脂アプローチ,ターミナリアベリリカ由来没食子酸,0,,無酸素運動,無酸素運動
174,174,9098,シボ葛の花,葛の花由来イソフラボン,1,3.0,ストレッチ,ストレッチ
175,175,9115,きなり匠,"DHA・EPA,モノグルコシルヘスペリジン",19,2.17,ストレッチストレッチ,ストレッチ
176,176,9116,ホップ効果,熟成ホップ由来苦味酸,0,,無酸素運動,無酸素運動
177,177,9119,緑茶減流素,茶カテキン,0,,ストレッチ,ストレッチ
178,178,9130,オサエルEX,ターミナリアベリリカ由来没食子酸,1,2.0,無酸素運動,無酸素運動
179,179,9138,ナイシヘルプ,ブラックジンジャー由来ポリメトキシフラボン,1,2.0,無酸素運動,無酸素運動
180,180,9141,オリヒロ脂肪･尿酸ダウン,ブラックジンジャー由来ポリメトキシフラボン,0,,無酸素運動,無酸素運動
181,181,9145,ボディチャレンジZ,エラグ酸,0,,無酸素運動,無酸素運動
182,182,9149,ベジバリアウエストスリム,茶カテキン,0,,ストレッチ,ストレッチ
183,183,9164,備えの食卓,イソマルトデキストリン,0,,ストレッチ,ストレッチ
184,184,9168,むくみクリア,ヒハツ由来ピペリン類,0,,ストレッチ,ストレッチ
185,185,9178,スリリンエス（SLILINS）,乳酸菌,0,,ストレッチ,ストレッチ
186,186,9183,ヘルスイッチ（healthswitch）,エラグ酸,1,3.0,無酸素運動,無酸素運動
187,187,9188,メタプラスウエストマックス,エラグ酸,1,3.0,無酸素運動,無酸素運動
188,188,9190,シボヘルシ,葛の花由来イソフラボン,26,2.12,ストレッチ,ストレッチ
189,189,9209,ナイシボーンGOLD,エラグ酸,5,2.2,無酸素運動,無酸素運動
190,190,9217,体脂サポート,ブラックジンジャー由来ポリメトキシフラボン,19,2.63,無酸素運動,無酸素運動
191,191,9221,ナイシヘール,ブラックジンジャー由来ポリメトキシフラボン,0,,無酸素運動,無酸素運動
192,192,9229,カロリレス,ターミナリアベリリカ由来没食子酸,0,,無酸素運動,無酸素運動
193,193,9241,カルカラ（KALCALA）,"ヒハツ由来ピペリン類,ブラックジンジャー由来ポリメトキシフラボン",5,2.6,無酸素運動ストレッチ,ストレッチ・無酸素運動
194,194,9248,シックスバリア,エラグ酸,0,,無酸素運動,無酸素運動
195,195,9255,メタシボール,エラグ酸,0,,無酸素運動,無酸素運動
196,196,9266,シボローカ,エラグ酸,68,2.24,無酸素運動,無酸素運動
197,197,9271,トリプルメタガード,"茶カテキン,ブラックジンジャー由来ポリメトキシフラボン,乳酸菌",0,,無酸素運動ストレッチストレッチ,ストレッチ・無酸素運動
198,198,9275,インナースマート（InnerSmart）,"ビフィズス菌,ブラックジンジャー由来ポリメトキシフラボン",0,,無酸素運動ストレッチ,ストレッチ・無酸素運動
199,199,9282,腹脂ヘルス,葛の花由来イソフラボン,0,,ストレッチ,ストレッチ
200,200,9284,シボヘルス,ブラックジンジャー由来ポリメトキシフラボン,1,2.0,無酸素運動,無酸素運動
201,201,9285,脂肪減（しぼうげん）,エラグ酸,0,,無酸素運動,無酸素運動
202,202,9286,ヘラスマート（HelaSmart）,コーヒー由来クロロゲン酸類,0,,無酸素運動,無酸素運動
203,203,9296,ナイシボーンZ,茶カテキン,0,,ストレッチ,ストレッチ
204,204,9306,保阪流極すらり生活,ブラックジンジャー由来ポリメトキシフラボン,0,,無酸素運動,無酸素運動
205,205,9309,中脂サポーター,エラグ酸,0,,無酸素運動,無酸素運動
206,206,9310,脂肪注意報EX,グロビン由来バリン-バリン-チロシン-プロリン,0,,無酸素運動,無酸素運動
207,207,9311,糖質注意報EX,サラシア,0,,有酸素運動,有酸素運動
208,208,9312,ダイエタリーファイバータブレット,イソマルトデキストリン,0,,ストレッチ,ストレッチ
209,209,9315,ターミナリアタイト（TerminaliaTight）,ターミナリアベリリカ由来没食子酸,0,,無酸素運動,無酸素運動
210,210,9316,アブラカッタブラ,キウイ由来プロシアニジン,0,,有酸素運動,有酸素運動
211,211,9317,働く人の生活習慣サポートEX,"DHA・EPA,ブラックジンジャー由来ポリメトキシフラボン",0,,無酸素運動ストレッチ,ストレッチ・無酸素運動
212,212,9319,ラクペコ（RAKUPECO）,"乳酸菌,ヒハツ由来ピペリン類,茶カテキン",1,2.0,ストレッチストレッチストレッチ,ストレッチ
213,213,9322,トリプル生活習慣,"バナバ葉由来コロソリン酸,エラグ酸",0,,無酸素運動ストレッチ,ストレッチ・無酸素運動
214,214,9327,シズカ茶カテキン,茶カテキン,0,,ストレッチ,ストレッチ
